,OrbitingCameraControl.object_x,OrbitingCameraControl.object_y,OrbitingCameraControl.object_z,OrbitingCameraControl.phi,OrbitingCameraControl.radius,OrbitingCameraControl.theta,OrientationControl.rotation_x,OrientationControl.rotation_y,OrientationControl.rotation_z,SunControl.air,SunControl.altitude,SunControl.background_strength,SunControl.dust,SunControl.elevation,SunControl.intensity,SunControl.ozone,SunControl.rotation,SunControl.size,environment,id_l2_3_0,id_linf_4,id_linf_8,id_non_rob,is_correct_l2_3_0,is_correct_linf_4,is_correct_linf_8,is_correct_non_rob,loss_l2_3_0,loss_linf_4,loss_linf_8,loss_non_rob,model,output_type,prediction_l2_3_0,prediction_linf_4,prediction_linf_8,prediction_non_rob
0,-0.5,0,0.268,0.0,0.3,-3.14,-1.57,0.0,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,27e48cc8-9434-4931-8337-20570703c1ca,b8bd6427-e6ff-4d42-957b-36c7bf668b2d,c4a7c620-436c-4b56-8476-559e5c304f3b,d29266ef-f5b2-4f42-b6ad-2111a1e23cc2,False,False,False,False,5.72372,4.518351,5.504456,4.3185015,025_mug.blend,classes,birdhouse,birdhouse,birdhouse,"plunger, plumber""s helper"
1,-0.5,0,0.268,0.0,0.3,-2.4422222222222225,-1.57,0.0,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,c74d682c-9785-418d-bbc5-66f94afaa64d,da2595f9-edd4-45a1-8273-d94bac896a54,13254379-677f-4619-88f7-1812b11fc746,6abb318e-6d39-4ad2-b9bf-f9e27e53486a,False,False,False,False,4.581645,2.8384335,4.108287,2.6451116,025_mug.blend,classes,"flatworm, platyhelminth",birdhouse,birdhouse,nipple
2,-0.5,0,0.268,0.0,0.3,-1.7444444444444447,-1.57,0.0,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,eaf7bf75-aa75-41c8-9100-125d540dc77e,680711ae-7a6e-4f17-898c-4dc3fe23ac1e,b457beed-9da8-48ca-a2f7-e494300fa3c4,33d16991-1024-4c6c-b235-4aa03eaed309,False,False,False,False,3.9022677,2.6945982,3.5215304,3.5791934,025_mug.blend,classes,"flatworm, platyhelminth",birdhouse,birdhouse,nipple
3,-0.5,0,0.268,0.0,0.3,-1.0466666666666669,-1.57,0.0,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,4b72001b-32bd-4337-bde0-fe3bdfa554ce,fa7e0497-88a0-49e2-875b-05c23900739c,876fb687-d2ac-441f-81b2-07b8cd69a4d6,2faf99d9-9dc6-47f3-87e3-7c58c3244c2a,False,False,False,False,4.289319,2.87723,4.395323,2.648676,025_mug.blend,classes,"flatworm, platyhelminth",birdhouse,birdhouse,pill bottle
4,-0.5,0,0.268,0.0,0.3,-0.34888888888888925,-1.57,0.0,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,869e9f72-a21b-4a16-a5cf-5723cbcd84d5,2ec1d6b0-2b81-48ca-8dc9-33c4789aec79,ea05f17c-d8c0-49d1-98a0-c3bd0955212d,7415def4-6532-4648-b3e9-0320fc1fc052,False,False,False,False,4.5773854,3.4605093,4.410081,3.2099,025_mug.blend,classes,"flatworm, platyhelminth",birdhouse,birdhouse,pill bottle
5,-0.5,0,0.268,0.0,0.3,0.34888888888888925,-1.57,0.0,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,73674ee0-a885-485d-bd57-30855aba070c,83a3dec9-454e-4141-be7c-a9deb3ba49d1,af550c5d-75f8-4d60-8fe1-fe7587126962,bf4e7180-7c13-4fb6-8f22-feb19b58bf2f,False,False,False,False,4.5051765,3.362516,4.744701,3.7435722,025_mug.blend,classes,birdhouse,birdhouse,birdhouse,red wine
6,-0.5,0,0.268,0.0,0.3,1.0466666666666664,-1.57,0.0,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,992166f5-1968-4572-a33b-c1124ba23954,f89d30dc-c66a-41ce-8915-011231734329,6172e246-17b5-43e0-b9d7-069236d20a3e,f2d9c688-6984-4501-a05b-839a47fdb36d,False,False,False,False,4.027627,2.5936642,4.4275236,3.266819,025_mug.blend,classes,"flatworm, platyhelminth",birdhouse,birdhouse,pill bottle
7,-0.5,0,0.268,0.0,0.3,1.744444444444444,-1.57,0.0,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,f5b8ad82-28ef-4876-9588-c87ecf91dc8d,cf1070f8-565c-4869-adbb-bc1dc6ee6158,ea307a95-5865-4abc-b586-ab9620c6b962,cd06808c-3e97-4d54-b384-449c9606fdfd,False,False,False,False,4.086319,2.451943,4.099095,4.2348976,025_mug.blend,classes,birdhouse,birdhouse,birdhouse,nipple
8,-0.5,0,0.268,0.0,0.3,2.4422222222222216,-1.57,0.0,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,10aa38c6-bd74-469f-a345-226620ce8f15,6b5e1532-1ea5-46f1-b95f-c5530da6a82f,32182a8b-287b-4a13-affe-dbe66c634628,8e3dffa0-1d51-4009-a137-c809b87d0ea3,False,False,False,False,4.364559,2.586328,3.819247,3.35098,025_mug.blend,classes,birdhouse,birdhouse,birdhouse,"plunger, plumber""s helper"
9,-0.5,0,0.268,0.0,0.3,3.14,-1.57,0.0,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,5b67277b-d3f9-448d-9fe6-30aa5160023e,cfafe49f-7796-4dbb-8d30-eb76be52e209,b53ce8f2-52ae-4ef9-aa9e-9e4cc2130b61,f03b5933-1712-4ab6-bf41-a7035e93413b,False,False,False,False,5.691063,4.5771832,5.5046377,4.4304376,025_mug.blend,classes,birdhouse,birdhouse,birdhouse,"plunger, plumber""s helper"
