,OrbitingCameraControl.object_x,OrbitingCameraControl.object_y,OrbitingCameraControl.object_z,OrbitingCameraControl.phi,OrbitingCameraControl.radius,OrbitingCameraControl.theta,SunControl.air,SunControl.altitude,SunControl.background_strength,SunControl.dust,SunControl.elevation,SunControl.intensity,SunControl.ozone,SunControl.rotation,SunControl.size,environment,id_l2_3_0,id_linf_4,id_linf_8,id_non_rob,is_correct_l2_3_0,is_correct_linf_4,is_correct_linf_8,is_correct_non_rob,loss_l2_3_0,loss_linf_4,loss_linf_8,loss_non_rob,model,output_type,prediction_l2_3_0,prediction_linf_4,prediction_linf_8,prediction_non_rob
0,-0.5,0,0.253,0.0,0.3,-3.14,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,cf7d903d-e745-4dba-9dba-72b9fff5355c,cb033cf0-51a3-45a6-8104-bc5efb992fba,17faf1c4-551a-4315-bd65-f09dbe1a8c8a,99c46a91-2cc0-4887-9832-fa8a1b7bf1cd,False,False,False,False,5.292597,4.187427,5.0676613,4.614109,025_mug.blend,classes,birdhouse,birdhouse,birdhouse,"plunger, plumber""s helper"
1,-0.5,0,0.253,0.0,0.3,-2.512,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,af460297-0bde-4cf8-af93-c994bbf5e7c9,49f27334-de86-4672-bbbc-6fcbd44d9d24,678555a5-0551-4b55-8ac6-1c9b36ddb9fd,b60cce8a-f037-4cb9-839b-7816fa7c84ef,False,False,False,True,4.440272,2.5699372000000005,3.737248,2.1172729,025_mug.blend,classes,"flatworm, platyhelminth",birdhouse,birdhouse,coffee mug
2,-0.5,0,0.253,0.0,0.3,-1.8840000000000001,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,489913b1-3a07-46d3-893b-15e72871f93d,5f95bfe9-a6ac-4388-a423-13cfdd14f80c,c761379a-d8b0-45ab-a147-88b73a63b416,25d8029a-d977-4821-8cf8-d29dd2cd3ec4,False,False,False,False,3.6924348,2.2660253,2.8626885,2.324173,025_mug.blend,classes,"flatworm, platyhelminth",birdhouse,birdhouse,cup
3,-0.5,0,0.253,0.0,0.3,-1.2560000000000002,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,ec277393-0339-4a4e-8ead-0ebbbf135fcd,01764f7f-0a59-4615-ad12-05a68d077d96,8fd4b581-bc57-469f-a778-57b236be3c0e,54b7d563-730c-48b6-81a5-37e6af78c617,False,False,False,True,3.8809953,2.5157616000000003,3.4447672,1.4450135,025_mug.blend,classes,"flatworm, platyhelminth",birdhouse,birdhouse,coffee mug
4,-0.5,0,0.253,0.0,0.3,-0.6280000000000001,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,beb12c55-f1d0-4822-bfdc-224d8349dd2f,f5474628-3ac7-416c-a8fd-4ffae5144873,77918ba6-cabf-4cb1-aa92-771b704b34cd,3ef912e6-14de-49b6-8b56-7ad6803992b2,False,False,False,False,4.277936,2.8027333999999997,3.9107625,2.5734572,025_mug.blend,classes,"flatworm, platyhelminth",birdhouse,birdhouse,red wine
5,-0.5,0,0.253,0.0,0.3,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,35429e2a-1994-412a-a39e-e843fa50f67f,bbc8a50a-296a-45d3-97aa-6e9e7c14a136,5526be8a-ead6-4c11-aa30-71d9f387beec,7e322329-7584-4570-b0df-76ba01f4bade,False,False,False,False,4.443203,3.5421135,3.9868317,4.0103226,025_mug.blend,classes,birdhouse,birdhouse,birdhouse,red wine
6,-0.5,0,0.253,0.0,0.3,0.6279999999999997,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,cecbbd87-e606-40c4-aa1c-2d5592edc3a9,baa2305c-1a8f-48ca-8c83-a9e1993e130b,45eb9067-aacb-43a6-b31f-149eeb608f81,6d6f7b07-fb2b-41eb-b9c6-e18c221102db,False,False,False,False,4.258678,2.9041166,4.236022,2.6002313999999997,025_mug.blend,classes,birdhouse,birdhouse,birdhouse,cup
7,-0.5,0,0.253,0.0,0.3,1.2559999999999998,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,f963055c-8474-4191-bdca-18c03fd8f52b,50c4c929-0229-4192-aacb-bd763c8099f3,1fb98748-4017-4107-a41a-b9c6b5235268,0fe0d778-276a-4169-95cc-78acf01aabe9,False,False,False,False,3.8903917999999997,2.2858129000000003,3.794332,2.441557,025_mug.blend,classes,"flatworm, platyhelminth",birdhouse,birdhouse,cup
8,-0.5,0,0.253,0.0,0.3,1.884,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,4de27f1d-85f6-493f-9133-4910ca5789ff,31900177-6a5f-416d-93bf-7ddd9fad350d,1aa5a13c-641a-4952-86a4-53c233643cc6,0cd473de-8e63-4325-9a8a-65d9e29a4f85,False,False,False,False,3.7769093999999996,2.1694303,3.4474167999999996,4.418933999999999,025_mug.blend,classes,birdhouse,birdhouse,birdhouse,nipple
9,-0.5,0,0.253,0.0,0.3,2.512,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,studioX_Stage.blend,f0fce4b8-4fd0-46b8-9495-79da83011035,76cf226d-9dba-4d74-902a-6b4dad076348,412be7f4-4ab2-42c2-91bc-7d08f6d68fb4,5f15e001-71d3-4160-b816-39144539b34e,False,False,False,False,4.243569,2.4059327,3.5456805,3.1106439,025_mug.blend,classes,birdhouse,birdhouse,birdhouse,nipple
