,non_rob,l2_3_0,linf_4,linf_8
011_banana.blend,0.37333333333333335,0.22666666666666666,0.10666666666666667,0.25333333333333335
014_lemon.blend,0.18666666666666668,0.0,0.0,0.0
017_orange.blend,0.04,0.13333333333333333,0.08,0.02666666666666667
025_mug.blend,0.7333333333333333,0.09333333333333334,0.3333333333333333,0.2
033_spatula.blend,0.0,0.0,0.0,0.0
035_power_drill.blend,0.4533333333333333,0.4266666666666667,0.49333333333333335,0.37333333333333335
058_golf_ball.blend,0.0,0.0,0.08,0.0
cup.blend,0.41333333333333333,0.05333333333333334,0.04,0.04
shoe.blend,0.17333333333333334,0.29333333333333333,0.41333333333333333,0.013333333333333334
toygun.blend,0.5866666666666667,0.37333333333333335,0.38666666666666666,0.04
