,OrbitingCameraControl.object_x,OrbitingCameraControl.object_y,OrbitingCameraControl.object_z,OrbitingCameraControl.phi,OrbitingCameraControl.radius,OrbitingCameraControl.theta,SunControl.air,SunControl.altitude,SunControl.background_strength,SunControl.dust,SunControl.elevation,SunControl.intensity,SunControl.ozone,SunControl.rotation,SunControl.size,environment,id_l2_3_0,id_linf_4,id_linf_8,id_non_rob,is_correct_l2_3_0,is_correct_linf_4,is_correct_linf_8,is_correct_non_rob,loss_l2_3_0,loss_linf_4,loss_linf_8,loss_non_rob,model,output_type,prediction_l2_3_0,prediction_linf_4,prediction_linf_8,prediction_non_rob
0,-0.5,0,0.253,0.0,40,-3.14,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,e53bdf2e-8435-49b2-ae2f-b76dd59c3f37,d792deb9-41fe-471e-9bd6-c49849791514,9b33866d-80a6-430a-920c-12f7a6d9cb9c,dbd22e9c-00f2-44b4-a895-843adeaace2c,False,False,False,False,13.740456,11.767719,13.694994,12.02261,tugboat_1.blend,classes,"switch, electric switch, electrical switch","switch, electric switch, electrical switch",iPod,"switch, electric switch, electrical switch"
1,-0.5,0,0.253,0.0,40,-2.512,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,9ad8c0c2-275f-46e8-b0ec-d46ccf324dec,792c48fe-08c5-442e-addd-0f37ef512296,9451726f-ee36-46d0-816d-db49ad8ceb7f,3a91f9e7-610a-4ec4-a377-f934f8f4b6a2,False,False,False,False,13.746503,12.061722999999999,14.1009655,9.554585000000001,tugboat_1.blend,classes,iPod,iPod,iPod,cassette
2,-0.5,0,0.253,0.0,40,-1.8840000000000001,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,cae55a0d-92d8-485c-827e-d4338db62ea1,8f0f0dd4-63db-47bc-9775-323eeb295182,228d3e24-62ba-433a-897f-cddfef164ed5,5546b21a-136e-437e-baad-6852ff9ff850,False,False,False,False,13.367007000000001,11.973429,12.794513,9.635244,tugboat_1.blend,classes,cassette,iPod,iPod,"hard disc, hard disk, fixed disk"
3,-0.5,0,0.253,0.0,40,-1.2560000000000002,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,cb27d8d0-05b3-4502-b836-1a0dc2f4cbef,dc27e87d-b034-40f4-b9ac-554707adf207,c638f907-a82e-4772-810e-ef87e923a60d,330acd58-7253-4f56-a435-3f754d45c751,False,False,False,False,13.247017000000001,11.699036999999999,13.042577,7.8645782,tugboat_1.blend,classes,cassette,iPod,iPod,"switch, electric switch, electrical switch"
4,-0.5,0,0.253,0.0,40,-0.6280000000000001,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,c53bf8b1-77f0-4b5d-85ba-8498f227765a,1c1d3e62-ee29-4792-968b-43a1270b350a,a7af3e1d-5d6d-458b-934d-737dabe5192a,e34bd3ce-5dbb-4155-a7ba-f2734db57435,False,False,False,False,14.124701000000002,12.229994,14.789229999999998,8.116498,tugboat_1.blend,classes,iPod,"cellular telephone, cellular phone, cellphone, cell, mobile phone",iPod,"hard disc, hard disk, fixed disk"
5,-0.5,0,0.253,0.0,40,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,a812d480-bb28-4e2e-a166-2557afbc6df4,155882f3-02e3-4422-b325-7920a5a1c9ca,5947fdbc-db54-4d1c-9f8b-49dcf41ab472,69e0def5-1371-4612-8b3a-cfb97cd9f950,False,False,False,False,12.554596,10.551252,13.913942,10.782077000000001,tugboat_1.blend,classes,"switch, electric switch, electrical switch","switch, electric switch, electrical switch",iPod,"switch, electric switch, electrical switch"
6,-0.5,0,0.253,0.0,40,0.6279999999999997,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,d766d1eb-89a3-4d02-aff7-de8755be2ae6,7cdc9fc3-f839-48da-92dc-c0a08000ba55,7680cba6-a712-462b-b772-60354a53a5a0,cc4a6ddd-c477-443f-a51f-b7345104f399,False,False,False,False,14.2606125,12.477675,14.426043,8.175980000000001,tugboat_1.blend,classes,iPod,"cellular telephone, cellular phone, cellphone, cell, mobile phone",iPod,cassette
7,-0.5,0,0.253,0.0,40,1.2559999999999998,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,beb2ae49-bc5e-4f1d-9a91-4f07ec681686,2cf23582-acea-4d6d-91bf-c982451dc2c0,ec2f617b-c1f1-4ccf-b8e4-3101f573fc43,2eaa6d26-dfc8-4171-8f7e-108ada7519a5,False,False,False,False,13.531247,11.89664,13.247951,8.569283500000001,tugboat_1.blend,classes,cassette,iPod,iPod,"hard disc, hard disk, fixed disk"
8,-0.5,0,0.253,0.0,40,1.884,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,6753508c-56cc-465b-ab8d-b6d68b70ba85,568363a2-c543-4439-ad60-e577e6c664b8,f9de3c78-7f2d-46a1-8459-f51e5d42d2cd,959c4112-2743-4a4f-b967-2d77dbf1bcac,False,False,False,False,13.605258,12.332591,13.315539000000001,10.692549,tugboat_1.blend,classes,cassette,iPod,iPod,cassette
9,-0.5,0,0.253,0.0,40,2.512,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,195293c7-9a76-4190-b88f-940522fd808b,1f5b25ec-199f-4cd0-bbf9-6b9b6c810276,5a6b8c4d-2d93-4e2a-a2eb-ccf682951e9f,ad5b44cc-12d9-494d-b2d7-a72bb7be3d23,False,False,False,False,13.947268,11.979906,14.850335999999999,10.100988000000001,tugboat_1.blend,classes,iPod,iPod,iPod,"switch, electric switch, electrical switch"
10,-0.5,0,0.253,0.17444444444444443,40,-3.14,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,c350b8b3-86f1-4f4a-81b0-675d1d5c8c71,e9285c5a-b315-4abf-8393-13852ec815ff,df9f20a5-7933-44c7-8171-e41908ce235d,c0ce1963-5884-4c73-86e2-ecf0d87b140a,False,False,False,False,13.425545000000001,10.556164,14.477910000000001,11.478767,tugboat_1.blend,classes,"switch, electric switch, electrical switch","switch, electric switch, electrical switch",iPod,"switch, electric switch, electrical switch"
11,-0.5,0,0.253,0.17444444444444443,40,-2.512,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,cdfedc16-6754-4dd3-bb20-abf508ec66c9,3ff85a1f-dd2c-471c-bf8a-984f469796d6,debb2c1c-4b53-4ca2-8d87-f7fb701336c9,f4243c4e-a93c-40b0-8fd6-e42f1f31b9ab,False,False,False,False,14.182057999999998,12.529332,14.064974,9.313336,tugboat_1.blend,classes,"cellular telephone, cellular phone, cellphone, cell, mobile phone","lighter, light, igniter, ignitor",iPod,"switch, electric switch, electrical switch"
12,-0.5,0,0.253,0.17444444444444443,40,-1.8840000000000001,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,a9729a89-901c-4a45-a9e1-cf8781f1c920,7cf40ca3-eb3e-4833-b01e-ecb840f2d632,657c4c75-74ad-4bcc-a3ea-e66dbf1cf201,db2eadf3-e1e6-4f92-b016-6c2f6587ea30,False,False,False,False,13.2597685,13.043179499999999,13.131625,9.089096000000001,tugboat_1.blend,classes,cassette,iPod,iPod,"switch, electric switch, electrical switch"
13,-0.5,0,0.253,0.17444444444444443,40,-1.2560000000000002,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,0ab28d57-11ec-41d5-b4a3-2622e432e3d1,12b53ffd-22e9-467c-9efa-1cbd64b9b93c,3ceeb305-5d33-4d54-ab2a-a1c86005fc55,875ff330-f046-4cdd-87ce-d1ff58e84abb,False,False,False,False,13.202004999999998,12.964381,13.337746,9.057283,tugboat_1.blend,classes,cassette,"cellular telephone, cellular phone, cellphone, cell, mobile phone",iPod,"switch, electric switch, electrical switch"
14,-0.5,0,0.253,0.17444444444444443,40,-0.6280000000000001,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,2cf90baf-762d-4d21-9a1a-a3190189954b,597967a5-862b-443c-9bbe-1cdc5692cf36,bd18ff9f-8eba-42e7-ab9f-f2490932f2e3,c2c8f36b-404a-4aab-a0a3-a7a0289270b8,False,False,False,False,14.058592,12.724173,15.186026000000002,11.964742,tugboat_1.blend,classes,"cellular telephone, cellular phone, cellphone, cell, mobile phone","cellular telephone, cellular phone, cellphone, cell, mobile phone","cellular telephone, cellular phone, cellphone, cell, mobile phone","switch, electric switch, electrical switch"
15,-0.5,0,0.253,0.17444444444444443,40,0.0,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,df0f8e58-4b6b-4fad-9ab0-948d24a23c75,7b770c96-b8d6-4edd-88e7-bdab02dc154a,8d6c3453-cbdc-4ebc-ad99-199e86e92032,9296c54c-50e3-4456-a9e9-9a7123f1e6bc,False,False,False,False,12.827288000000001,11.063794999999999,14.099691,12.181906,tugboat_1.blend,classes,"cellular telephone, cellular phone, cellphone, cell, mobile phone","Polaroid camera, Polaroid Land camera",iPod,"switch, electric switch, electrical switch"
16,-0.5,0,0.253,0.17444444444444443,40,0.6279999999999997,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,736776bb-6b5d-462b-9988-d4ad90a3e87b,9505b837-c4ad-4ca1-9a97-ae3ad0adb180,95226ae1-ae76-46d7-b122-38740a9ace27,07922749-cd70-4952-bb62-fe1b563dddda,False,False,False,False,14.746654999999999,12.920328,14.774673000000002,9.297226,tugboat_1.blend,classes,"cellular telephone, cellular phone, cellphone, cell, mobile phone","cellular telephone, cellular phone, cellphone, cell, mobile phone","cellular telephone, cellular phone, cellphone, cell, mobile phone","switch, electric switch, electrical switch"
17,-0.5,0,0.253,0.17444444444444443,40,1.2559999999999998,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,67d06136-8dba-4c4c-a80a-b1ea5ce5e996,2feab18c-9dba-4904-96b0-321ce05be777,2b0a2904-8d6d-4ae7-9503-4e5251fc52f1,e4e39f39-2177-4b14-a15e-c76c673bac88,False,False,False,False,13.151307999999998,12.426308,12.913007,9.409757,tugboat_1.blend,classes,cassette,cassette,iPod,"switch, electric switch, electrical switch"
18,-0.5,0,0.253,0.17444444444444443,40,1.884,3.0,1.0,0.1,1.0,1.57,1.0,1.0,0.0,3.0,simple_ocean.blend,69db8691-9c0e-48c8-9d60-ba10f83224c2,d86bcd20-3d0a-4801-ade3-753416e2fa28,620dbebe-7a11-4b00-a09c-e2ec123d4616,5cb654b3-c995-442d-b694-ea7b046d42fe,False,False,False,False,13.454309,13.125529,13.557707,10.413084,tugboat_1.blend,classes,cassette,cassette,iPod,"switch, electric switch, electrical switch"
